Player,Avg Ball Speed
Cameron Champ (2019),190.7
Seth Reeves (2019),183.52
Peter Uihlein (2019),183.01
Trey Mullinax (2019),182.98
Ollie Schniederjans (2019),182.8
Kevin Tway (2019),182.18
Jhonattan Vegas (2019),181.69
Wyndham Clark (2019),181.55
Luke List (2019),181.53
Keith Mitchell (2019),181.4
Bubba Watson (2019),181.19
Tony Finau (2019),180.76
Gary Woodland (2019),180.47
Adam Schenk (2019),180.1
Nick Watney (2019),179.61
Rory McIlroy (2019),179.45
Adam Scott (2019),179.36
J.B. Holmes (2019),179.31
Alex Noren (2019),179.26
Sam Burns (2019),179.23
Jason Kokrak (2019),179.08
Brooks Koepka (2019),178.89
Dustin Johnson (2019),178.82
Cameron Davis (2019),178.75
Xander Schauffele (2019),178.67
Patrick Rodgers (2019),178.55
Phil Mickelson (2019),178.05
Sergio Garcia (2019),177.79
Harris English (2019),177.52
Max Homa (2019),177.26
Seamus Power (2019),177.09
Martin Trainer (2019),176.8
Jason Day (2019),176.6
Justin Thomas (2019),176.17
Charles Howell III (2019),176.1
Talor Gooch (2019),175.81
Jon Rahm (2019),175.78
Byeong Hun An (2019),175.7
Carlos Ortiz (2019),175.62
Joaquin Niemann (2019),175.62
Patrick Cantlay (2019),175.52
Bryson DeChambeau (2019),175.4
John Chin (2019),175.21
Cameron Tringale (2019),175.07
Sebastián Muñoz (2019),175.02
Brandon Harkins (2019),175
Alex Prugh (2019),174.62
Hudson Swafford (2019),174.58
Paul Casey (2019),174.48
Marc Leishman (2019),174.47
Hideki Matsuyama (2019),174.43
Rickie Fowler (2019),174.35
Aaron Wise (2019),174.29
Jim Knous (2019),174.11
Charley Hoffman (2019),174.07
Tommy Fleetwood (2019),173.91
Daniel Berger (2019),173.87
Scott Stallings (2019),173.71
Matt Jones (2019),173.54
Harold Varner III (2019),173.51
Mackenzie Hughes (2019),173.37
Ryan Palmer (2019),173.36
Justin Rose (2019),173.1
Sepp Straka (2019),172.9
Branden Grace (2019),172.89
Chesson Hadley (2019),172.83
Martin Laird (2019),172.6
Corey Conners (2019),172.57
Patrick Reed (2019),172.52
Chase Wright (2019),172.51
Cody Gribble (2019),172.47
Jimmy Walker (2019),172.19
Sam Saunders (2019),172.12
Dominic Bozzelli (2019),172.06
Patton Kizzire (2019),172.02
Tyrrell Hatton (2019),172.01
Lucas Glover (2019),171.93
Hank Lebioda (2019),171.71
Henrik Stenson (2019),171.69
Sung Kang (2019),171.51
Brendan Steele (2019),171.49
Robert Streb (2019),171.47
Aaron Baddeley (2019),171.31
Scott Piercy (2019),171.3
Danny Lee (2019),171.29
Dylan Frittelli (2019),171.14
Roger Sloan (2019),170.95
Keegan Bradley (2019),170.89
Sam Ryder (2019),170.83
Stephan Jaeger (2019),170.75
Sangmoon Bae (2019),170.66
Louis Oosthuizen (2019),170.61
Curtis Luck (2019),170.6
Emiliano Grillo (2019),170.58
Jordan Spieth (2019),170.53
J.T. Poston (2019),170.51
Bill Haas (2019),170.28
Beau Hossler (2019),170.27
Kramer Hickok (2019),170.04
Sungjae Im (2019),169.98
Danny Willett (2019),169.94
Shawn Stefani (2019),169.94
Peter Malnati (2019),169.74
Denny McCarthy (2019),169.72
Adam Hadwin (2019),169.65
Anders Albertson (2019),169.52
Josh Teater (2019),169.4
Jim Herman (2019),169.39
Kiradech Aphibarnrat (2019),169.33
Billy Horschel (2019),169.24
Hunter Mahan (2019),169.06
Kevin Streelman (2019),169.02
Cameron Smith (2019),168.89
Si Woo Kim (2019),168.79
Jason Dufner (2019),168.68
J.J. Spaun (2019),168.67
Rafa Cabrera Bello (2019),168.54
J.J. Henry (2019),168.53
Bronson Burgoon (2019),168.35
Bud Cauley (2019),168.27
Ian Poulter (2019),168.21
Abraham Ancer (2019),168.18
Troy Merritt (2019),168.17
Francesco Molinari (2019),168.06
Matthew Fitzpatrick (2019),167.98
Pat Perez (2019),167.9
Kevin Na (2019),167.89
Kyoung-Hoon Lee (2019),167.88
Adam Svensson (2019),167.85
Tom Hoge (2019),167.7
Anirban Lahiri (2019),167.64
Joey Garber (2019),167.63
Richy Werenski (2019),167.59
Joel Dahmen (2019),167.58
Scott Brown (2019),167.42
Freddie Jacobson (2019),167.39
Chris Stroud (2019),167.3
Brice Garnett (2019),167.29
Russell Knox (2019),167.17
Julián Etulain (2019),167.09
Wes Roach (2019),166.97
Graeme McDowell (2019),166.89
Michael Kim (2019),166.86
"Ted Potter, Jr. (2019)",166.79
Jonas Blixt (2019),166.79
Kevin Kisner (2019),166.61
Andrew Putnam (2019),166.56
Nate Lashley (2019),166.42
Jonathan Byrd (2019),166.34
Nick Taylor (2019),166.29
C.T. Pan (2019),166.27
Michael Thompson (2019),166.27
Ben Silverman (2019),166.23
Tyler Duncan (2019),166.16
Rod Pampling (2019),166.14
Kyle Stanley (2019),165.96
Ernie Els (2019),165.8
José de Jesús Rodríguez (2019),165.74
Roberto Castro (2019),165.7
Adam Long (2019),165.68
Rory Sabbatini (2019),165.44
Kelly Kraft (2019),165.17
Russell Henley (2019),165.15
Austin Cook (2019),165.12
Webb Simpson (2019),165.1
Brian Harman (2019),164.91
Zach Johnson (2019),164.79
Ryan Blaum (2019),164.54
Fabián Gómez (2019),164.43
Matt Kuchar (2019),164.27
Andrew Landry (2019),163.74
Brandt Snedeker (2019),163.19
Roberto Díaz (2019),162.76
Chez Reavie (2019),162.44
Vaughn Taylor (2019),162.27
Kyle Jones (2019),161.88
Brady Schnell (2019),161.75
Ryan Moore (2019),161.54
Whee Kim (2019),161.52
Ryan Armour (2019),161.17
Satoshi Kodaira (2019),161.07
Jim Furyk (2019),161
Johnson Wagner (2019),160.85
Brian Stuard (2019),160.2
Alex Cejka (2019),159.91
Brian Gay (2019),159.76
Scott Langley (2019),158.27
David Hearn (2019),158.16
Bubba Watson (2015),184.54
Tony Finau (2015),182.68
Charlie Beljan (2015),182.14
Dustin Johnson (2015),181.43
Adam Scott (2015),179.72
Brooks Koepka (2015),179.63
J.B. Holmes (2015),179.59
Jason Kokrak (2015),179.15
Jhonattan Vegas (2015),178.52
Patrick Rodgers (2015),178.29
Jason Day (2015),178.23
Henrik Stenson (2015),177.73
Charles Howell III (2015),177.66
Hudson Swafford (2015),177.12
Harris English (2015),176.55
Daniel Berger (2015),176.39
Robert Garrigus (2015),176.18
Gary Woodland (2015),175.93
Sergio Garcia (2015),175.53
Aaron Baddeley (2015),175.43
Brendan Steele (2015),175.33
Ángel Cabrera (2015),175.1
Derek Ernst (2015),174.9
Steven Bowditch (2015),174.56
Charl Schwartzel (2015),174.56
Keegan Bradley (2015),174.55
Nick Watney (2015),174.39
Rickie Fowler (2015),174.37
Jimmy Walker (2015),174.29
Martin Flores (2015),174.05
Martin Laird (2015),173.75
Robert Streb (2015),173.48
Justin Thomas (2015),173.46
Stewart Cink (2015),173.46
Graham DeLaet (2015),173.36
Paul Casey (2015),173.34
Charley Hoffman (2015),173.25
Will Wilcox (2015),173.18
Max Homa (2015),172.99
Lucas Glover (2015),172.93
Seung-Yul Noh (2015),172.86
Kevin Chappell (2015),172.85
Ryan Palmer (2015),172.79
Phil Mickelson (2015),172.74
Patrick Reed (2015),172.74
Russell Henley (2015),172.7
Matt Jones (2015),172.65
Scott Piercy (2015),171.98
Shawn Stefani (2015),171.97
Carlos Ortiz (2015),171.93
Michael Putnam (2015),171.92
Scott Pinckney (2015),171.89
Andres Gonzales (2015),171.88
Jim Herman (2015),171.65
Marc Leishman (2015),171.52
Louis Oosthuizen (2015),171.42
Scott Stallings (2015),171.29
Jamie Donaldson (2015),171.28
Alex Prugh (2015),171.22
Justin Rose (2015),171.14
Byron Smith (2015),170.81
Roger Sloan (2015),170.74
John Senden (2015),170.64
Sean O'Hair (2015),170.56
Ryo Ishikawa (2015),170.53
Ricky Barnes (2015),170.51
Hideki Matsuyama (2015),170.48
Lee Westwood (2015),170.44
George McNeill (2015),170.08
Gonzalo Fernandez-Castaño (2015),170.07
Padraig Harrington (2015),169.8
Greg Owen (2015),169.52
Andres Romero (2015),169.44
Camilo Villegas (2015),169.43
Geoff Ogilvy (2015),169.4
Adam Hadwin (2015),169.37
J.J. Henry (2015),169.18
Morgan Hoffmann (2015),169.03
Sam Saunders (2015),168.98
Jonathan Randolph (2015),168.87
James Hahn (2015),168.78
Jordan Spieth (2015),168.77
Retief Goosen (2015),168.71
Billy Horschel (2015),168.53
Boo Weekley (2015),168.49
Sangmoon Bae (2015),168.35
Ben Martin (2015),168.18
Tom Hoge (2015),168.01
Michael Thompson (2015),167.9
Tyrone Van Aswegen (2015),167.62
Johnson Wagner (2015),167.58
Carl Pettersson (2015),167.56
Hunter Mahan (2015),167.44
Chesson Hadley (2015),167.41
Bo Van Pelt (2015),167.39
Matt Every (2015),167.3
Brendon de Jonge (2015),167.28
Eric Axley (2015),167.18
Blayne Barber (2015),167.04
Davis Love III (2015),167.03
Kevin Streelman (2015),166.87
Nick Taylor (2015),166.81
Vijay Singh (2015),166.6
Erik Compton (2015),166.56
Scott Brown (2015),166.53
Troy Merritt (2015),166.49
Derek Fathauer (2015),166.49
Cameron Percy (2015),166.44
Jason Dufner (2015),166.35
Jonas Blixt (2015),166.32
Andrew Svoboda (2015),166.29
Pat Perez (2015),166.26
Kyle Reifers (2015),166.2
Jason Gore (2015),166.12
Ian Poulter (2015),166.1
Sung Joon Park (2015),166.07
Luke Guthrie (2015),165.9
Oscar Fraustro (2015),165.81
Rory Sabbatini (2015),165.79
Ernie Els (2015),165.66
Jonathan Byrd (2015),165.65
Bill Haas (2015),165.52
Brandt Snedeker (2015),165.38
Brice Garnett (2015),165.3
D.A. Points (2015),165.12
Jim Renner (2015),165.11
John Peterson (2015),165.04
David Lingmerth (2015),164.99
Kevin Kisner (2015),164.95
Chad Campbell (2015),164.59
Chris Kirk (2015),164.57
Nicholas Thompson (2015),164.54
Jeff Overton (2015),164.5
Bill Lunde (2015),164.46
Kevin Na (2015),164.41
Mark Hubbard (2015),164.18
Fabián Gómez (2015),164.12
Steve Wheatcroft (2015),164.09
Andrew Putnam (2015),164.02
Robert Allenby (2015),163.93
Whee Kim (2015),163.86
Daniel Summerhays (2015),163.86
Matt Kuchar (2015),163.84
Webb Simpson (2015),163.6
Roberto Castro (2015),163.55
William McGirt (2015),163.52
Spencer Levin (2015),163.37
John Merrick (2015),163.22
Brian Harman (2015),163.14
Russell Knox (2015),163.12
Chris Stroud (2015),162.93
Danny Lee (2015),162.83
Scott Langley (2015),162.59
Chez Reavie (2015),162.36
John Huh (2015),162.23
Ken Duke (2015),162.18
Greg Chalmers (2015),162.18
Francesco Molinari (2015),162.1
Chad Collins (2015),162.03
Luke Donald (2015),161.67
Jim Furyk (2015),161.63
Ryan Moore (2015),161.62
Cameron Tringale (2015),161.6
Alex Cejka (2015),160.88
Zach Johnson (2015),160.82
Bryce Molder (2015),160.78
Jason Bohn (2015),160.52
Tim Wilkinson (2015),160.06
David Hearn (2015),159.94
K.J. Choi (2015),159.44
Brian Stuard (2015),159.25
Zac Blair (2015),158.92
Billy Hurley III (2015),158.73
Jerry Kelly (2015),158.24
Brendon Todd (2015),157.94
Mark Wilson (2015),157.9
Colt Knost (2015),157.7
Brian Davis (2015),157.1
Ben Crane (2015),156.6
Steven Alker (2015),156.39
Jon Curran (2015),155.71
Justin Leonard (2015),155.56
Heath Slocum (2015),154.4
David Toms (2015),152.78
Andrew Loupe (2016),184.57
Tony Finau (2016),182.46
Jason Kokrak (2016),182.23
Bubba Watson (2016),182.06
Gary Woodland (2016),181.5
Dustin Johnson (2016),181.49
Jhonattan Vegas (2016),180.74
J.B. Holmes (2016),180.74
Adam Scott (2016),180.23
Luke List (2016),179.91
Rory McIlroy (2016),179.3
Hudson Swafford (2016),178.17
Charles Howell III (2016),177.93
Jamie Lovemark (2016),177.83
Patrick Rodgers (2016),177.48
Jason Day (2016),176.91
Brooks Koepka (2016),176.68
Robert Garrigus (2016),175.92
Brendan Steele (2016),175.8
Rickie Fowler (2016),175.78
Sergio Garcia (2016),175.75
Charl Schwartzel (2016),175.63
Harris English (2016),175.27
Smylie Kaufman (2016),175.24
Derek Ernst (2016),174.89
Justin Thomas (2016),174.83
Greg Owen (2016),174.04
Jimmy Walker (2016),174.01
Keegan Bradley (2016),173.98
Ryan Palmer (2016),173.89
Harold Varner III (2016),173.76
Steven Bowditch (2016),173.61
Martin Laird (2016),173.6
Justin Rose (2016),173.58
Andres Gonzales (2016),173.55
Carlos Ortiz (2016),173.54
Stewart Cink (2016),173.49
Matt Jones (2016),173.44
Graham DeLaet (2016),173.42
Ricky Barnes (2016),173.42
Paul Casey (2016),173.38
Branden Grace (2016),173.24
Scott Pinckney (2016),173.1
Patrick Reed (2016),172.97
Charley Hoffman (2016),172.97
Phil Mickelson (2016),172.91
Aaron Baddeley (2016),172.75
Marc Leishman (2016),172.72
Seung-Yul Noh (2016),172.38
Rhein Gibson (2016),172.06
Daniel Berger (2016),172.03
Kevin Chappell (2016),171.78
Lucas Glover (2016),171.67
Robert Streb (2016),171.66
Ángel Cabrera (2016),171.61
Jim Herman (2016),171.5
Sean O'Hair (2016),171.08
Shane Lowry (2016),171.06
Scott Piercy (2016),170.97
John Senden (2016),170.93
Louis Oosthuizen (2016),170.65
Will Wilcox (2016),170.26
Sung Kang (2016),170.14
Russell Henley (2016),170.14
Dawie van der Walt (2016),170.11
Billy Horschel (2016),169.45
Bronson Burgoon (2016),169.42
Scott Stallings (2016),169.3
Jason Dufner (2016),169.09
Steve Marino (2016),169.04
Brett Stegmaier (2016),169.03
Hideki Matsuyama (2016),169
Si Woo Kim (2016),168.97
Hunter Mahan (2016),168.88
Patton Kizzire (2016),168.88
Chesson Hadley (2016),168.86
Emiliano Grillo (2016),168.82
Padraig Harrington (2016),168.78
Bill Haas (2016),168.55
Wes Roach (2016),168.52
Tyrone Van Aswegen (2016),168.51
Jordan Spieth (2016),168.42
Ben Martin (2016),168.27
George McNeill (2016),168.11
Adam Hadwin (2016),167.96
Nick Taylor (2016),167.9
Geoff Ogilvy (2016),167.74
James Hahn (2016),167.68
Anirban Lahiri (2016),167.4
Shawn Stefani (2016),167.32
Morgan Hoffmann (2016),167.31
Derek Fathauer (2016),167.29
Rob Oppenheim (2016),167.16
Michael Thompson (2016),167.15
Jason Gore (2016),166.96
Fabián Gómez (2016),166.87
Luke Guthrie (2016),166.75
