Player,Launch Angle
Brian Gay (2019),14.1
Phil Mickelson (2019),13.26
Adam Long (2019),12.98
David Hearn (2019),12.76
Vaughn Taylor (2019),12.75
Joey Garber (2019),12.68
Danny Lee (2019),12.57
Brian Stuard (2019),12.35
Keegan Bradley (2019),12.33
Alex Cejka (2019),12.24
Sam Saunders (2019),12.19
Michael Kim (2019),12.08
Troy Merritt (2019),11.98
Harold Varner III (2019),11.84
Bryson DeChambeau (2019),11.82
Webb Simpson (2019),11.75
Ryan Blaum (2019),11.74
Austin Cook (2019),11.74
Byeong Hun An (2019),11.7
Whee Kim (2019),11.7
Julián Etulain (2019),11.67
Sung Kang (2019),11.64
Brady Schnell (2019),11.63
J.J. Spaun (2019),11.6
Richy Werenski (2019),11.54
Graeme McDowell (2019),11.43
Francesco Molinari (2019),11.39
Bronson Burgoon (2019),11.39
Hunter Mahan (2019),11.33
Jonathan Byrd (2019),11.32
Bud Cauley (2019),11.32
Chez Reavie (2019),11.3
Danny Willett (2019),11.3
Satoshi Kodaira (2019),11.27
Zach Johnson (2019),11.26
Beau Hossler (2019),11.22
Cody Gribble (2019),11.19
Michael Thompson (2019),11.15
Rickie Fowler (2019),11.09
Wes Roach (2019),11.09
Dominic Bozzelli (2019),11.03
Brian Harman (2019),10.97
Jimmy Walker (2019),10.96
Jason Day (2019),10.95
Jonas Blixt (2019),10.94
Denny McCarthy (2019),10.92
Billy Horschel (2019),10.9
Josh Teater (2019),10.87
Jason Kokrak (2019),10.86
Kevin Streelman (2019),10.83
Rory McIlroy (2019),10.81
C.T. Pan (2019),10.79
Cameron Davis (2019),10.78
Sepp Straka (2019),10.77
Aaron Wise (2019),10.75
Charley Hoffman (2019),10.67
Scott Piercy (2019),10.64
Nate Lashley (2019),10.64
Ryan Palmer (2019),10.63
Scott Brown (2019),10.63
Roberto Díaz (2019),10.63
Brandt Snedeker (2019),10.62
Justin Rose (2019),10.59
Roger Sloan (2019),10.59
Alex Prugh (2019),10.56
Stephan Jaeger (2019),10.55
Johnson Wagner (2019),10.5
Tyrrell Hatton (2019),10.5
Nick Taylor (2019),10.47
Ernie Els (2019),10.46
Chesson Hadley (2019),10.46
Corey Conners (2019),10.46
Chris Stroud (2019),10.44
Chase Wright (2019),10.44
Brice Garnett (2019),10.41
Kramer Hickok (2019),10.41
Andrew Landry (2019),10.4
Joel Dahmen (2019),10.37
Tom Hoge (2019),10.36
J.J. Henry (2019),10.35
Fabián Gómez (2019),10.29
Jon Rahm (2019),10.28
Matt Kuchar (2019),10.27
Brooks Koepka (2019),10.27
Trey Mullinax (2019),10.27
Kelly Kraft (2019),10.22
Dustin Johnson (2019),10.21
Kiradech Aphibarnrat (2019),10.13
Pat Perez (2019),10.11
Anirban Lahiri (2019),10.11
Patton Kizzire (2019),10.09
Rafa Cabrera Bello (2019),10.04
Cameron Smith (2019),10.04
Mackenzie Hughes (2019),10.02
Jordan Spieth (2019),10.01
Ben Silverman (2019),10.01
Sam Burns (2019),10.01
Kevin Kisner (2019),10
Hideki Matsuyama (2019),9.98
Henrik Stenson (2019),9.97
Si Woo Kim (2019),9.94
Kyle Jones (2019),9.93
Tyler Duncan (2019),9.87
Keith Mitchell (2019),9.86
Rory Sabbatini (2019),9.85
Bill Haas (2019),9.8
Dylan Frittelli (2019),9.8
Brendan Steele (2019),9.74
José de Jesús Rodríguez (2019),9.74
Peter Malnati (2019),9.69
Wyndham Clark (2019),9.68
Martin Laird (2019),9.67
Abraham Ancer (2019),9.67
Sangmoon Bae (2019),9.62
Shawn Stefani (2019),9.61
J.T. Poston (2019),9.61
Louis Oosthuizen (2019),9.58
Jason Dufner (2019),9.52
Hudson Swafford (2019),9.52
Martin Trainer (2019),9.5
Xander Schauffele (2019),9.46
Tommy Fleetwood (2019),9.42
Adam Hadwin (2019),9.42
Marc Leishman (2019),9.38
Cameron Tringale (2019),9.36
Luke List (2019),9.34
Carlos Ortiz (2019),9.29
Jim Knous (2019),9.29
Justin Thomas (2019),9.28
Scott Stallings (2019),9.24
Emiliano Grillo (2019),9.24
Tony Finau (2019),9.14
Talor Gooch (2019),9.13
Russell Henley (2019),9.12
Patrick Cantlay (2019),9.12
Kyoung-Hoon Lee (2019),9.1
Bubba Watson (2019),9.03
Ryan Moore (2019),9.01
Harris English (2019),8.99
Jim Furyk (2019),8.98
Hank Lebioda (2019),8.92
Ryan Armour (2019),8.91
Sungjae Im (2019),8.91
Brandon Harkins (2019),8.9
Sebastián Muñoz (2019),8.89
J.B. Holmes (2019),8.88
"Ted Potter, Jr. (2019)",8.87
Curtis Luck (2019),8.87
Daniel Berger (2019),8.77
Patrick Rodgers (2019),8.76
Gary Woodland (2019),8.75
John Chin (2019),8.73
Branden Grace (2019),8.71
Alex Noren (2019),8.69
Scott Langley (2019),8.68
Anders Albertson (2019),8.64
Seamus Power (2019),8.62
Ian Poulter (2019),8.57
Lucas Glover (2019),8.55
Patrick Reed (2019),8.29
Roberto Castro (2019),8.26
Paul Casey (2019),8.23
Andrew Putnam (2019),8.2
Jhonattan Vegas (2019),8.19
Russell Knox (2019),8.18
Sergio Garcia (2019),8.17
Jim Herman (2019),8.14
Adam Svensson (2019),8.03
Joaquin Niemann (2019),8
Sam Ryder (2019),7.99
Max Homa (2019),7.99
Matthew Fitzpatrick (2019),7.95
Kyle Stanley (2019),7.87
Nick Watney (2019),7.79
Kevin Tway (2019),7.78
Kevin Na (2019),7.76
Matt Jones (2019),7.75
Freddie Jacobson (2019),7.68
Charles Howell III (2019),7.67
Adam Scott (2019),7.39
Rod Pampling (2019),7.37
Aaron Baddeley (2019),7.37
Robert Streb (2019),7.32
Ollie Schniederjans (2019),7.32
Seth Reeves (2019),7.16
Cameron Champ (2019),7.14
Adam Schenk (2019),6.94
Peter Uihlein (2019),6.46
Justin Thomas (2015),14.11
Mark Wilson (2015),13.8
David Hearn (2015),13.58
David Toms (2015),13.52
Nick Taylor (2015),13.28
Ernie Els (2015),13.27
James Hahn (2015),13.25
Nicholas Thompson (2015),13.1
Zach Johnson (2015),13.07
Chesson Hadley (2015),13.03
Danny Lee (2015),12.99
Padraig Harrington (2015),12.82
Brian Davis (2015),12.8
Steven Alker (2015),12.67
Alex Cejka (2015),12.61
Michael Thompson (2015),12.53
Jon Curran (2015),12.5
Morgan Hoffmann (2015),12.5
Keegan Bradley (2015),12.49
Scott Piercy (2015),12.44
John Huh (2015),12.42
Graham DeLaet (2015),12.36
Sean O'Hair (2015),12.32
Jeff Overton (2015),12.24
Sam Saunders (2015),12.21
J.B. Holmes (2015),12.17
Jason Day (2015),12.12
Matt Kuchar (2015),12.11
Retief Goosen (2015),12.1
Chez Reavie (2015),12.1
Matt Every (2015),12.07
Scott Stallings (2015),12.03
Alex Prugh (2015),12
Brian Harman (2015),12
Cameron Tringale (2015),11.97
Heath Slocum (2015),11.96
Andres Romero (2015),11.94
Justin Rose (2015),11.93
Phil Mickelson (2015),11.93
Oscar Fraustro (2015),11.93
Ryan Moore (2015),11.85
Tim Wilkinson (2015),11.84
Davis Love III (2015),11.82
Patrick Rodgers (2015),11.81
Charley Hoffman (2015),11.78
K.J. Choi (2015),11.78
Carl Pettersson (2015),11.76
Ryan Palmer (2015),11.76
Jordan Spieth (2015),11.74
Robert Allenby (2015),11.72
Francesco Molinari (2015),11.7
Dustin Johnson (2015),11.63
Hunter Mahan (2015),11.62
Cameron Percy (2015),11.6
Chris Kirk (2015),11.48
Jonas Blixt (2015),11.47
Jim Renner (2015),11.46
Webb Simpson (2015),11.45
Steve Wheatcroft (2015),11.45
Brice Garnett (2015),11.42
Ben Crane (2015),11.42
Jason Gore (2015),11.42
Carlos Ortiz (2015),11.42
Blayne Barber (2015),11.4
Troy Merritt (2015),11.38
Seung-Yul Noh (2015),11.36
Vijay Singh (2015),11.34
Zac Blair (2015),11.33
Bo Van Pelt (2015),11.32
Brian Stuard (2015),11.32
Geoff Ogilvy (2015),11.29
Kevin Chappell (2015),11.27
Roger Sloan (2015),11.27
Bill Haas (2015),11.26
J.J. Henry (2015),11.24
Chad Campbell (2015),11.22
Whee Kim (2015),11.19
Daniel Berger (2015),11.15
Jimmy Walker (2015),11.15
Robert Garrigus (2015),11.14
Chris Stroud (2015),11.14
Hideki Matsuyama (2015),11.11
Luke Guthrie (2015),11.09
David Lingmerth (2015),11.05
Colt Knost (2015),11.05
Luke Donald (2015),11.04
Jerry Kelly (2015),11.01
Kevin Kisner (2015),11
Brendan Steele (2015),10.98
Tyrone Van Aswegen (2015),10.97
Jonathan Byrd (2015),10.97
Russell Henley (2015),10.94
Scott Brown (2015),10.91
Rickie Fowler (2015),10.89
Brendon Todd (2015),10.89
Rory Sabbatini (2015),10.87
Kevin Streelman (2015),10.85
John Peterson (2015),10.85
Jason Bohn (2015),10.83
Bill Lunde (2015),10.81
Billy Horschel (2015),10.78
Derek Fathauer (2015),10.72
Gary Woodland (2015),10.66
D.A. Points (2015),10.66
Aaron Baddeley (2015),10.65
Justin Leonard (2015),10.62
Mark Hubbard (2015),10.61
Billy Hurley III (2015),10.58
Brandt Snedeker (2015),10.47
Shawn Stefani (2015),10.46
Marc Leishman (2015),10.45
Fabián Gómez (2015),10.42
Erik Compton (2015),10.42
Jim Furyk (2015),10.4
Martin Laird (2015),10.38
Harris English (2015),10.38
Tom Hoge (2015),10.37
Louis Oosthuizen (2015),10.33
Ángel Cabrera (2015),10.33
Andres Gonzales (2015),10.32
Scott Langley (2015),10.31
Kyle Reifers (2015),10.3
Chad Collins (2015),10.24
Max Homa (2015),10.23
Lee Westwood (2015),10.22
Tony Finau (2015),10.18
Adam Hadwin (2015),10.18
Jason Kokrak (2015),10.15
Sangmoon Bae (2015),10.13
Roberto Castro (2015),10.09
Andrew Svoboda (2015),10.09
Andrew Putnam (2015),10.06
Russell Knox (2015),10.04
John Merrick (2015),10.04
Johnson Wagner (2015),10.01
Jim Herman (2015),9.97
Greg Chalmers (2015),9.87
Bryce Molder (2015),9.87
Steven Bowditch (2015),9.82
Hudson Swafford (2015),9.78
Patrick Reed (2015),9.77
Gonzalo Fernandez-Castaño (2015),9.7
Ryo Ishikawa (2015),9.66
Daniel Summerhays (2015),9.62
Stewart Cink (2015),9.56
Jason Dufner (2015),9.53
Derek Ernst (2015),9.52
Ian Poulter (2015),9.46
Camilo Villegas (2015),9.45
Lucas Glover (2015),9.43
Paul Casey (2015),9.43
John Senden (2015),9.38
Boo Weekley (2015),9.31
Matt Jones (2015),9.29
Pat Perez (2015),9.28
Greg Owen (2015),9.25
Charl Schwartzel (2015),9.25
Jonathan Randolph (2015),9.24
Brooks Koepka (2015),9.22
Sergio Garcia (2015),9.18
Ken Duke (2015),9.15
Martin Flores (2015),9.12
Jamie Donaldson (2015),9.11
Brendon de Jonge (2015),8.99
William McGirt (2015),8.99
Adam Scott (2015),8.91
Charlie Beljan (2015),8.89
Spencer Levin (2015),8.72
Sung Joon Park (2015),8.72
Scott Pinckney (2015),8.71
Michael Putnam (2015),8.66
Nick Watney (2015),8.62
Eric Axley (2015),8.61
Robert Streb (2015),8.58
Bubba Watson (2015),8.57
Ben Martin (2015),8.53
Jhonattan Vegas (2015),8.5
Henrik Stenson (2015),8.49
George McNeill (2015),8.4
Charles Howell III (2015),8.28
Kevin Na (2015),8.2
Will Wilcox (2015),8.03
Byron Smith (2015),7.93
Ricky Barnes (2015),6.53
David Toms (2016),13.42
Zach Johnson (2016),13.4
David Hearn (2016),13.17
Mark Wilson (2016),13.16
Zac Blair (2016),13.12
Justin Thomas (2016),12.91
Brett Stegmaier (2016),12.88
Retief Goosen (2016),12.85
Morgan Hoffmann (2016),12.84
Rhein Gibson (2016),12.65
Vaughn Taylor (2016),12.63
Michael Kim (2016),12.54
Will MacKenzie (2016),12.52
Danny Lee (2016),12.5
Jason Day (2016),12.46
Chesson Hadley (2016),12.46
Thomas Aiken (2016),12.42
Ernie Els (2016),12.42
K.J. Choi (2016),12.33
D.H. Lee (2016),12.29
Scott Piercy (2016),12.11
Alex Cejka (2016),12.09
Keegan Bradley (2016),12.08
Kelly Kraft (2016),12.08
James Hahn (2016),12.07
Jon Curran (2016),11.99
J.B. Holmes (2016),11.98
Anirban Lahiri (2016),11.95
John Huh (2016),11.92
Jeff Overton (2016),11.89
Sam Saunders (2016),11.88
Padraig Harrington (2016),11.88
Rory Sabbatini (2016),11.85
Andrew Landry (2016),11.78
Jordan Spieth (2016),11.67
Ryan Moore (2016),11.66
Brandt Snedeker (2016),11.63
Justin Rose (2016),11.63
Ryan Palmer (2016),11.62
Sean O'Hair (2016),11.62
Rickie Fowler (2016),11.62
Hunter Mahan (2016),11.57
Phil Mickelson (2016),11.55
Jerry Kelly (2016),11.53
Kevin Kisner (2016),11.52
Martin Piller (2016),11.51
Scott Stallings (2016),11.5
Robert Allenby (2016),11.5
Jason Gore (2016),11.47
Brian Harman (2016),11.45
D.A. Points (2016),11.42
Hiroshi Iwata (2016),11.34
Billy Horschel (2016),11.34
J.J. Henry (2016),11.32
Shawn Stefani (2016),11.29
Scott Brown (2016),11.28
Smylie Kaufman (2016),11.28
Hideki Matsuyama (2016),11.27
Chez Reavie (2016),11.26
Jonas Blixt (2016),11.25
Tyler Aldridge (2016),11.23
Bronson Burgoon (2016),11.22
Sung Kang (2016),11.2
Patrick Rodgers (2016),11.2
Stuart Appleby (2016),11.2
Blayne Barber (2016),11.19
Jason Bohn (2016),11.16
Vijay Singh (2016),11.14
Webb Simpson (2016),11.14
Peter Malnati (2016),11.12
Charley Hoffman (2016),11.12
Tim Wilkinson (2016),11.11
Brendon Todd (2016),11.1
Troy Merritt (2016),11.1
Derek Fathauer (2016),11.08
Wes Roach (2016),11.06
Chris Stroud (2016),11.04
Carlos Ortiz (2016),11.04
Whee Kim (2016),11.02
Ben Crane (2016),11.01
Francesco Molinari (2016),10.98
Tyrone Van Aswegen (2016),10.98
Billy Hurley III (2016),10.98
Nick Taylor (2016),10.95
Brian Stuard (2016),10.9
Luke Donald (2016),10.88
Jamie Lovemark (2016),10.87
Colt Knost (2016),10.85
Michael Thompson (2016),10.84
Cameron Tringale (2016),10.83
Harold Varner III (2016),10.83
Geoff Ogilvy (2016),10.83
Jimmy Walker (2016),10.8
Matt Kuchar (2016),10.77
Bill Haas (2016),10.69
David Lingmerth (2016),10.65
Gary Woodland (2016),10.63
Chris Kirk (2016),10.61
Ángel Cabrera (2016),10.6
