Player,Prox to Hole ARG
Derek Ernst (2016),7.5
Chesson Hadley (2016),7.5
David Lingmerth (2016),7.5
Smylie Kaufman (2016),7.58
Daniel Berger (2016),7.58
Ryan Palmer (2016),7.58
Freddie Jacobson (2016),7.58
Jason Dufner (2016),7.58
George McNeill (2016),7.58
James Hahn (2016),7.58
Billy Horschel (2016),7.58
D.H. Lee (2016),7.58
Patton Kizzire (2016),7.67
Gary Woodland (2016),7.67
Robert Garrigus (2016),7.67
Sean O'Hair (2016),7.67
Andrew Landry (2016),7.67
Morgan Hoffmann (2016),7.75
Blayne Barber (2016),7.75
Wes Roach (2016),7.75
Patrick Rodgers (2016),7.75
K.J. Choi (2016),7.75
Geoff Ogilvy (2016),7.75
Ken Duke (2016),7.75
Jim Herman (2016),7.75
Kyle Stanley (2016),7.75
Henrik Norlander (2016),7.75
Kevin Streelman (2016),7.75
Chris Stroud (2016),7.83
Sam Saunders (2016),7.83
Andres Gonzales (2016),7.83
Kyle Reifers (2016),7.83
Scott Brown (2016),7.83
Shane Lowry (2016),7.83
Nick Taylor (2016),7.83
Scott Piercy (2016),7.83
Whee Kim (2016),7.83
Russell Henley (2016),7.92
Justin Thomas (2016),7.92
Michael Kim (2016),7.92
Jason Gore (2016),7.92
Rory Sabbatini (2016),7.92
Martin Piller (2016),7.92
Derek Fathauer (2016),7.92
Brett Stegmaier (2016),7.92
Tony Finau (2016),7.92
Fabián Gómez (2016),7.92
J.B. Holmes (2016),7.92
Bronson Burgoon (2016),8
Brendan Steele (2016),8
Graeme McDowell (2016),8
Bubba Watson (2016),8
Cameron Tringale (2016),8
Mark Hubbard (2016),8
Cameron Smith (2016),8
Brooks Koepka (2016),8
William McGirt (2016),8.08
Johnson Wagner (2016),8.17
Robert Allenby (2016),8.17
J.J. Henry (2016),8.17
Stewart Cink (2016),8.17
Harold Varner III (2016),8.17
Kelly Kraft (2016),8.17
Andrew Loupe (2016),8.25
John Senden (2016),8.25
Greg Owen (2016),8.25
Martin Laird (2016),8.25
Jhonattan Vegas (2016),8.33
Jonas Blixt (2016),8.33
Kevin Kisner (2016),8.33
Sergio Garcia (2016),8.33
Thomas Aiken (2016),8.33
Hunter Mahan (2016),8.42
Anirban Lahiri (2016),8.42
Emiliano Grillo (2016),8.42
Ben Martin (2016),8.42
Rhein Gibson (2016),8.5
Graham DeLaet (2016),8.5
Steve Marino (2016),8.5
Daniel Summerhays (2016),8.58
Carlos Ortiz (2016),8.58
Hudson Swafford (2016),8.58
Ángel Cabrera (2016),8.75
Brendon de Jonge (2016),8.75
Dawie van der Walt (2016),8.75
Scott Pinckney (2016),9.08
Ian Poulter (2017),6.33
Tim Wilkinson (2017),6.42
Phil Mickelson (2017),6.58
Chad Collins (2017),6.58
Steven Alker (2017),6.58
Kevin Na (2017),6.67
Webb Simpson (2017),6.67
Jordan Spieth (2017),6.67
Zac Blair (2017),6.75
Bill Haas (2017),6.75
Chad Campbell (2017),6.83
Brian Gay (2017),6.83
Jason Day (2017),6.83
Wesley Bryan (2017),6.83
Cameron Tringale (2017),6.92
Peter Malnati (2017),6.92
Rory McIlroy (2017),6.92
Seamus Power (2017),6.92
Matt Kuchar (2017),6.92
Charl Schwartzel (2017),6.92
David Hearn (2017),7
Ryan Palmer (2017),7
Sergio Garcia (2017),7
Andres Gonzales (2017),7
Rickie Fowler (2017),7.08
Hideki Matsuyama (2017),7.08
Mark Anderson (2017),7.08
Pat Perez (2017),7.08
Paul Casey (2017),7.08
Blayne Barber (2017),7.08
Cameron Smith (2017),7.08
Michael Kim (2017),7.08
Brett Drewitt (2017),7.17
Jimmy Walker (2017),7.17
Matt Jones (2017),7.17
Ken Duke (2017),7.17
Ryan Armour (2017),7.17
Geoff Ogilvy (2017),7.17
Kevin Chappell (2017),7.17
Branden Grace (2017),7.17
Tyrone Van Aswegen (2017),7.17
Brian Harman (2017),7.17
Roberto Castro (2017),7.25
Alex Cejka (2017),7.25
Rory Sabbatini (2017),7.25
Nick Taylor (2017),7.25
Ernie Els (2017),7.25
Gonzalo Fernandez-Castaño (2017),7.25
Harris English (2017),7.25
David Lingmerth (2017),7.25
Jon Rahm (2017),7.25
Ollie Schniederjans (2017),7.33
Morgan Hoffmann (2017),7.33
K.J. Choi (2017),7.33
Justin Rose (2017),7.33
Chris Stroud (2017),7.33
Camilo Villegas (2017),7.33
Jonas Blixt (2017),7.33
Billy Hurley III (2017),7.33
Jamie Lovemark (2017),7.42
Kevin Kisner (2017),7.42
Luke List (2017),7.42
Brad Fritsch (2017),7.42
C.T. Pan (2017),7.42
Anirban Lahiri (2017),7.42
Ben Crane (2017),7.42
Ricky Barnes (2017),7.42
Aaron Baddeley (2017),7.42
Luke Donald (2017),7.42
Zach Johnson (2017),7.42
D.A. Points (2017),7.42
Retief Goosen (2017),7.42
Justin Thomas (2017),7.42
Robert Streb (2017),7.42
Mark Hubbard (2017),7.42
Whee Kim (2017),7.42
Dominic Bozzelli (2017),7.42
J.T. Poston (2017),7.5
Si Woo Kim (2017),7.5
Patrick Reed (2017),7.5
Francesco Molinari (2017),7.5
Jhonattan Vegas (2017),7.5
Bryce Molder (2017),7.5
Jason Bohn (2017),7.5
Greg Chalmers (2017),7.5
Charles Howell III (2017),7.5
Gary Woodland (2017),7.5
Dustin Johnson (2017),7.5
Brian Stuard (2017),7.5
Emiliano Grillo (2017),7.5
Troy Merritt (2017),7.5
Fabián Gómez (2017),7.5
Kyle Reifers (2017),7.5
Seung-Yul Noh (2017),7.5
J.B. Holmes (2017),7.58
Adam Hadwin (2017),7.58
Michael Thompson (2017),7.58
Chris Kirk (2017),7.58
Tony Finau (2017),7.58
Marc Leishman (2017),7.58
Jason Dufner (2017),7.58
Patrick Cantlay (2017),7.58
Bud Cauley (2017),7.58
Brandon Hagy (2017),7.58
Jonathan Randolph (2017),7.67
John Huh (2017),7.67
Brendan Steele (2017),7.67
Shawn Stefani (2017),7.67
Carl Pettersson (2017),7.67
Tag Ridings (2017),7.67
Danny Lee (2017),7.67
Kyle Stanley (2017),7.67
Patton Kizzire (2017),7.67
Russell Knox (2017),7.67
Ryan Moore (2017),7.67
Spencer Levin (2017),7.67
Miguel Angel Carballo (2017),7.67
Brandt Snedeker (2017),7.75
Brett Stegmaier (2017),7.75
Sam Saunders (2017),7.75
Keegan Bradley (2017),7.75
Scott Stallings (2017),7.75
Ryo Ishikawa (2017),7.75
Charley Hoffman (2017),7.75
Louis Oosthuizen (2017),7.75
Steve Wheatcroft (2017),7.75
Lucas Glover (2017),7.75
Nick Watney (2017),7.75
Jim Furyk (2017),7.75
Russell Henley (2017),7.75
Tom Hoge (2017),7.75
Rick Lamb (2017),7.83
Daniel Berger (2017),7.83
Smylie Kaufman (2017),7.83
Johnson Wagner (2017),7.83
Boo Weekley (2017),7.83
Julián Etulain (2017),7.83
Kevin Tway (2017),7.83
James Hahn (2017),7.92
Sung Kang (2017),7.92
Martin Laird (2017),7.92
Rafa Cabrera Bello (2017),7.92
Graeme McDowell (2017),7.92
Vaughn Taylor (2017),7.92
Robert Garrigus (2017),7.92
Adam Scott (2017),7.92
Nicholas Lindheim (2017),7.92
Byeong Hun An (2017),7.92
Grayson Murray (2017),8
Mackenzie Hughes (2017),8
J.J. Spaun (2017),8
Sebastián Muñoz (2017),8
Stewart Cink (2017),8
Matt Every (2017),8
Scott Brown (2017),8
Ryan Blaum (2017),8.08
Derek Fathauer (2017),8.08
Daniel Summerhays (2017),8.08
Richy Werenski (2017),8.08
Bryson DeChambeau (2017),8.08
Xander Schauffele (2017),8.08
Brooks Koepka (2017),8.08
Patrick Rodgers (2017),8.08
Harold Varner III (2017),8.17
Cody Gribble (2017),8.17
Hudson Swafford (2017),8.17
Brian Campbell (2017),8.17
Chez Reavie (2017),8.17
Steven Bowditch (2017),8.17
J.J. Henry (2017),8.17
Jason Kokrak (2017),8.17
Ben Martin (2017),8.17
Kevin Streelman (2017),8.17
Martin Flores (2017),8.25
William McGirt (2017),8.25
Cameron Percy (2017),8.25
Sean O'Hair (2017),8.25
Rod Pampling (2017),8.33
Scott Piercy (2017),8.33
Ryan Brehm (2017),8.33
Graham DeLaet (2017),8.42
Bubba Watson (2017),8.42
Hunter Mahan (2017),8.42
Søren Kjeldsen (2017),8.42
Trey Mullinax (2017),8.42
Andrew Loupe (2017),8.42
Jim Herman (2017),8.5
Shane Lowry (2017),8.5
Billy Horschel (2017),8.67
Kelly Kraft (2017),9.08
Louis Oosthuizen (2018),6.25
Wesley Bryan (2018),6.33
Tiger Woods (2018),6.42
Kevin Na (2018),6.5
Bud Cauley (2018),6.67
Tyrrell Hatton (2018),6.75
Justin Thomas (2018),6.75
Ryan Moore (2018),6.75
Chris Kirk (2018),6.83
Jamie Lovemark (2018),6.83
Rory McIlroy (2018),6.83
Alex Cejka (2018),6.83
Jim Furyk (2018),6.83
Si Woo Kim (2018),6.92
Brooks Koepka (2018),6.92
Danny Lee (2018),6.92
Webb Simpson (2018),6.92
Zach Johnson (2018),6.92
Zac Blair (2018),7
Martin Laird (2018),7
"Ted Potter, Jr. (2018)",7
Jonathan Byrd (2018),7
Ryan Armour (2018),7
Conrad Shindler (2018),7.08
Johnson Wagner (2018),7.08
Justin Rose (2018),7.08
Aaron Baddeley (2018),7.08
Tom Hoge (2018),7.17
Rob Oppenheim (2018),7.17
Paul Casey (2018),7.17
Ricky Barnes (2018),7.17
Matt Kuchar (2018),7.17
Retief Goosen (2018),7.17
Cameron Smith (2018),7.25
Patrick Reed (2018),7.25
Rickie Fowler (2018),7.25
Dustin Johnson (2018),7.25
Jonas Blixt (2018),7.25
D.A. Points (2018),7.25
Rory Sabbatini (2018),7.25
Peter Malnati (2018),7.33
Tony Finau (2018),7.33
Jason Day (2018),7.33
J.B. Holmes (2018),7.33
Luke List (2018),7.33
Jimmy Walker (2018),7.33
Cameron Percy (2018),7.33
Blayne Barber (2018),7.42
Jordan Spieth (2018),7.42
Adam Hadwin (2018),7.42
Brian Stuard (2018),7.42
Kiradech Aphibarnrat (2018),7.42
Billy Hurley III (2018),7.42
Marc Leishman (2018),7.42
Brian Gay (2018),7.42
Ollie Schniederjans (2018),7.5
Austin Cook (2018),7.5
Stephan Jaeger (2018),7.5
Joel Dahmen (2018),7.5
Byeong Hun An (2018),7.5
William McGirt (2018),7.5
Fabián Gómez (2018),7.5
David Hearn (2018),7.5
Matt Jones (2018),7.5
Jason Dufner (2018),7.5
Charles Howell III (2018),7.5
Stewart Cink (2018),7.5
Charley Hoffman (2018),7.5
Abraham Ancer (2018),7.58
Harold Varner III (2018),7.58
Grayson Murray (2018),7.58
C.T. Pan (2018),7.58
Tyrone Van Aswegen (2018),7.58
Charl Schwartzel (2018),7.58
Vaughn Taylor (2018),7.58
Denny McCarthy (2018),7.67
Richy Werenski (2018),7.67
Shawn Stefani (2018),7.67
Russell Knox (2018),7.67
Hideki Matsuyama (2018),7.67
Derek Fathauer (2018),7.67
Seamus Power (2018),7.67
Sung Kang (2018),7.67
Brian Harman (2018),7.67
Nick Taylor (2018),7.67
Robert Garrigus (2018),7.67
Ben Crane (2018),7.67
Chad Campbell (2018),7.67
Xander Schauffele (2018),7.75
Jon Rahm (2018),7.75
Talor Gooch (2018),7.75
Kelly Kraft (2018),7.75
Roberto Díaz (2018),7.75
James Hahn (2018),7.75
Kevin Tway (2018),7.75
Branden Grace (2018),7.75
Kevin Streelman (2018),7.75
Lucas Glover (2018),7.75
Francesco Molinari (2018),7.75
Ryan Palmer (2018),7.75
Henrik Stenson (2018),7.75
Phil Mickelson (2018),7.75
Keith Mitchell (2018),7.83
Patrick Cantlay (2018),7.83
David Lingmerth (2018),7.83
Jonathan Randolph (2018),7.83
Andrew Putnam (2018),7.83
John Huh (2018),7.83
Ben Martin (2018),7.83
Jason Kokrak (2018),7.83
Scott Stallings (2018),7.83
Chris Stroud (2018),7.83
Sean O'Hair (2018),7.83
Ian Poulter (2018),7.83
Dominic Bozzelli (2018),7.92
Corey Conners (2018),7.92
Sam Ryder (2018),7.92
Patrick Rodgers (2018),7.92
Hudson Swafford (2018),7.92
Harris English (2018),7.92
Cameron Tringale (2018),7.92
Emiliano Grillo (2018),7.92
Anirban Lahiri (2018),7.92
Tommy Fleetwood (2018),7.92
Peter Uihlein (2018),7.92
Ryan Blaum (2018),7.92
Brandt Snedeker (2018),7.92
Rafa Cabrera Bello (2018),7.92
Chez Reavie (2018),7.92
Graeme McDowell (2018),7.92
Bill Haas (2018),7.92
Pat Perez (2018),7.92
Tyler Duncan (2018),8
Keegan Bradley (2018),8
Jhonattan Vegas (2018),8
Adam Scott (2018),8
Rod Pampling (2018),8
J.T. Poston (2018),8.08
Matt Atkins (2018),8.08
Michael Kim (2018),8.08
Chesson Hadley (2018),8.08
Shane Lowry (2018),8.08
Troy Merritt (2018),8.08
Xinjun Zhang (2018),8.08
Sam Saunders (2018),8.08
J.J. Henry (2018),8.08
Bryson DeChambeau (2018),8.17
Daniel Berger (2018),8.17
Whee Kim (2018),8.17
Brandon Harkins (2018),8.17
Martin Piller (2018),8.17
Kyle Stanley (2018),8.17
Brice Garnett (2018),8.17
Nate Lashley (2018),8.17
Scott Piercy (2018),8.17
Zecheng Dou (2018),8.25
Nicholas Lindheim (2018),8.25
Andrew Yun (2018),8.25
Kevin Chappell (2018),8.25
Michael Thompson (2018),8.25
Kevin Kisner (2018),8.25
Bronson Burgoon (2018),8.25
Steve Wheatcroft (2018),8.25
Daniel Summerhays (2018),8.25
Greg Chalmers (2018),8.25
Ethan Tracy (2018),8.33
Ben Silverman (2018),8.33
Robert Streb (2018),8.33
Brett Stegmaier (2018),8.33
Billy Horschel (2018),8.33
Martin Flores (2018),8.33
Kyle Thompson (2018),8.33
Aaron Wise (2018),8.42
Cody Gribble (2018),8.42
Mackenzie Hughes (2018),8.42
Beau Hossler (2018),8.42
Lanto Griffin (2018),8.42
Andrew Landry (2018),8.42
Alex Noren (2018),8.42
Patton Kizzire (2018),8.5
Gary Woodland (2018),8.5
Matt Every (2018),8.5
Brendan Steele (2018),8.58
Scott Brown (2018),8.58
Tom Lovelady (2018),8.67
J.J. Spaun (2018),8.75
Russell Henley (2018),8.75
Nick Watney (2018),8.75
Bubba Watson (2018),8.75
Adam Schenk (2018),8.83
Hunter Mahan (2018),8.92
Trey Mullinax (2018),9.17
Satoshi Kodaira (2018),9.33
