Player,Sand Save %
Hudson Swafford (2016),49.09
Graeme McDowell (2016),49.04
Rod Pampling (2016),48.91
Gary Woodland (2016),48.85
Jason Kokrak (2016),48.7
Andres Gonzales (2016),48.65
Rory Sabbatini (2016),48.6
Cameron Tringale (2016),48.57
Derek Ernst (2016),48.42
Zac Blair (2016),48.37
Jim Herman (2016),48.37
John Senden (2016),48.15
Charley Hoffman (2016),47.97
Sam Saunders (2016),47.93
Kelly Kraft (2016),47.92
William McGirt (2016),47.85
Emiliano Grillo (2016),47.74
J.J. Henry (2016),47.73
Bronson Burgoon (2016),47.71
Rory McIlroy (2016),47.52
Bubba Watson (2016),47.32
Shane Lowry (2016),47.19
Chesson Hadley (2016),47.14
Rhein Gibson (2016),46.97
Billy Hurley III (2016),46.88
Jimmy Walker (2016),46.76
Abraham Ancer (2016),46.75
Tony Finau (2016),46.43
Jhonattan Vegas (2016),46.43
Will MacKenzie (2016),46.4
Spencer Levin (2016),46.36
Derek Fathauer (2016),46.07
Ryan Palmer (2016),45.98
David Lingmerth (2016),45.97
Johnson Wagner (2016),45.97
Jim Furyk (2016),45.95
Robert Streb (2016),45.93
Daniel Berger (2016),45.86
Kevin Na (2016),45.86
Rob Oppenheim (2016),45.61
Geoff Ogilvy (2016),45.54
Camilo Villegas (2016),45.32
Andrew Loupe (2016),45.3
Jason Dufner (2016),45.28
Dustin Johnson (2016),45.24
Nick Taylor (2016),45.19
Patton Kizzire (2016),44.96
Kevin Chappell (2016),44.94
Ken Duke (2016),44.72
Francesco Molinari (2016),44.68
Daniel Summerhays (2016),44.51
Andrew Landry (2016),44.44
Kevin Kisner (2016),44.3
Graham DeLaet (2016),44.26
Thomas Aiken (2016),44.05
Stewart Cink (2016),43.82
Jeff Overton (2016),43.7
Wes Roach (2016),43.68
Anirban Lahiri (2016),43.55
Steve Wheatcroft (2016),43.38
Harold Varner III (2016),43.08
D.A. Points (2016),43.04
Vijay Singh (2016),42.97
Ángel Cabrera (2016),42.86
Will Wilcox (2016),42.86
Jason Gore (2016),42.61
Lucas Glover (2016),42.59
Boo Weekley (2016),42.52
D.H. Lee (2016),42.42
Jason Bohn (2016),42.15
Patrick Rodgers (2016),42.15
Whee Kim (2016),41.98
Ernie Els (2016),41.86
Kyle Stanley (2016),41.73
Ben Martin (2016),41.67
Brett Stegmaier (2016),41.18
Keegan Bradley (2016),40.98
James Hahn (2016),40.97
Chris Stroud (2016),40.94
Greg Owen (2016),40.48
Kevin Streelman (2016),40.27
Scott Pinckney (2016),39.84
Robert Garrigus (2016),39.53
Carlos Ortiz (2016),38.53
Scott Stallings (2016),38.52
Dawie van der Walt (2016),38.2
Rickie Fowler (2017),68.66
Luke Donald (2017),64.44
Rory McIlroy (2017),63.24
Seung-Yul Noh (2017),61.9
Webb Simpson (2017),61.49
Louis Oosthuizen (2017),61.22
Adam Hadwin (2017),61.11
Tim Wilkinson (2017),61.05
Tyrone Van Aswegen (2017),60.78
Gary Woodland (2017),60.68
Ian Poulter (2017),59.29
Jon Rahm (2017),59.12
Harris English (2017),58.97
Brian Harman (2017),58.7
Aaron Baddeley (2017),58.42
Michael Thompson (2017),58.16
Tom Hoge (2017),58.06
Jimmy Walker (2017),57.89
Steven Bowditch (2017),57.8
Charl Schwartzel (2017),57.61
Matt Kuchar (2017),57.55
Geoff Ogilvy (2017),57.5
Bryce Molder (2017),57.24
John Huh (2017),57.23
Brian Campbell (2017),57.14
Matt Jones (2017),57.14
Zac Blair (2017),56.29
Brandt Snedeker (2017),56.25
Nick Watney (2017),56.1
David Lingmerth (2017),56.06
Justin Rose (2017),55.93
Vaughn Taylor (2017),55.8
Jordan Spieth (2017),55.79
Seamus Power (2017),55.74
David Hearn (2017),55.35
Wesley Bryan (2017),55.33
Jonas Blixt (2017),55.28
Hunter Mahan (2017),55.22
Brandon Hagy (2017),54.69
Ollie Schniederjans (2017),54.55
Kevin Na (2017),54.55
Pat Perez (2017),54.55
Ben Crane (2017),54.48
Morgan Hoffmann (2017),54.43
C.T. Pan (2017),54.17
Brian Gay (2017),54.17
Nicholas Lindheim (2017),53.93
Jason Day (2017),53.92
Xander Schauffele (2017),53.91
Francesco Molinari (2017),53.85
Adam Scott (2017),53.85
Sam Saunders (2017),53.7
Danny Lee (2017),53.68
Andres Gonzales (2017),53.68
Bill Haas (2017),53.57
Michael Kim (2017),53.52
Trey Mullinax (2017),53.51
Whee Kim (2017),53.33
Rafa Cabrera Bello (2017),53.33
Phil Mickelson (2017),53.33
Emiliano Grillo (2017),53.28
Chad Collins (2017),53.21
Jamie Lovemark (2017),53.18
Sergio Garcia (2017),53.1
Charley Hoffman (2017),53.09
Peter Malnati (2017),53.06
Marc Leishman (2017),53.02
Chad Campbell (2017),52.99
Cameron Tringale (2017),52.94
Cameron Percy (2017),52.94
Ben Martin (2017),52.9
Scott Brown (2017),52.7
Troy Merritt (2017),52.38
Anirban Lahiri (2017),52.31
Retief Goosen (2017),52.31
Chez Reavie (2017),52.29
Kevin Kisner (2017),52.14
Rory Sabbatini (2017),52.04
Ken Duke (2017),52.03
Tony Finau (2017),52
Zach Johnson (2017),51.64
Grayson Murray (2017),51.57
Hudson Swafford (2017),51.53
Johnson Wagner (2017),51.49
Sung Kang (2017),51.45
Sean O'Hair (2017),51.41
Fabián Gómez (2017),51.35
Charles Howell III (2017),51.35
Mark Anderson (2017),51.28
Chris Kirk (2017),51.26
Patrick Cantlay (2017),51.14
Patrick Reed (2017),51.09
K.J. Choi (2017),51.09
Ricky Barnes (2017),51.05
Steven Alker (2017),50.96
Hideki Matsuyama (2017),50.88
Ryan Blaum (2017),50.74
Branden Grace (2017),50.51
Graeme McDowell (2017),50.51
Blayne Barber (2017),50.43
Mark Hubbard (2017),50.39
Brett Drewitt (2017),50
Patton Kizzire (2017),50
Martin Flores (2017),50
Greg Chalmers (2017),50
Ernie Els (2017),50
Kevin Streelman (2017),49.66
Cody Gribble (2017),49.61
Lucas Glover (2017),49.33
Cameron Smith (2017),49.18
Daniel Summerhays (2017),49.14
Søren Kjeldsen (2017),48.98
Roberto Castro (2017),48.94
Ryo Ishikawa (2017),48.91
Byeong Hun An (2017),48.87
Keegan Bradley (2017),48.81
Rick Lamb (2017),48.78
Kyle Reifers (2017),48.73
Sebastián Muñoz (2017),48.72
Smylie Kaufman (2017),48.67
Robert Garrigus (2017),48.51
Justin Thomas (2017),48.21
Brooks Koepka (2017),48.2
Brad Fritsch (2017),48.19
Carl Pettersson (2017),48
Harold Varner III (2017),47.97
James Hahn (2017),47.97
Si Woo Kim (2017),47.92
Ryan Brehm (2017),47.92
Spencer Levin (2017),47.86
Shane Lowry (2017),47.83
Rod Pampling (2017),47.79
Kyle Stanley (2017),47.73
Nick Taylor (2017),47.71
Gonzalo Fernandez-Castaño (2017),47.56
D.A. Points (2017),47.47
Ryan Moore (2017),47.3
Tag Ridings (2017),47.25
Martin Laird (2017),47.2
Mackenzie Hughes (2017),47.02
Camilo Villegas (2017),46.96
William McGirt (2017),46.77
Bud Cauley (2017),46.76
Alex Cejka (2017),46.55
Brian Stuard (2017),46.43
Luke List (2017),46.43
Bubba Watson (2017),46.32
Russell Henley (2017),46.05
Bryson DeChambeau (2017),46
Jonathan Randolph (2017),45.95
Jhonattan Vegas (2017),45.74
Shawn Stefani (2017),45.71
Kevin Tway (2017),45.7
Robert Streb (2017),45.66
Jim Furyk (2017),45.61
Chris Stroud (2017),45.54
Steve Wheatcroft (2017),45.54
J.J. Spaun (2017),45.45
Miguel Angel Carballo (2017),45.45
Billy Horschel (2017),44.88
Richy Werenski (2017),44.74
Boo Weekley (2017),44.64
Brett Stegmaier (2017),44.57
Derek Fathauer (2017),44.37
Dustin Johnson (2017),44.32
Scott Stallings (2017),44.26
Ryan Palmer (2017),43.59
Billy Hurley III (2017),43.48
Brendan Steele (2017),43.33
Dominic Bozzelli (2017),43.24
Daniel Berger (2017),43.18
Julián Etulain (2017),42.86
J.B. Holmes (2017),42.86
Kevin Chappell (2017),42.75
Kelly Kraft (2017),42.66
Jason Dufner (2017),42.06
J.T. Poston (2017),41.98
Matt Every (2017),41.27
J.J. Henry (2017),40.32
Graham DeLaet (2017),40
Patrick Rodgers (2017),39.82
Andrew Loupe (2017),39.8
Jason Bohn (2017),39.56
Paul Casey (2017),39.17
Stewart Cink (2017),38.4
Scott Piercy (2017),37.96
Russell Knox (2017),37.93
Jim Herman (2017),37.59
Ryan Armour (2017),37.33
Jason Kokrak (2017),36.81
Ben Crane (2018),66
Louis Oosthuizen (2018),64.29
Webb Simpson (2018),62.91
Jason Day (2018),62.5
Whee Kim (2018),61.82
Zac Blair (2018),61.63
Kevin Na (2018),61.49
Justin Rose (2018),61.16
Seamus Power (2018),60.94
Matt Kuchar (2018),60.81
Rory Sabbatini (2018),60.67
Rickie Fowler (2018),60.5
Rob Oppenheim (2018),60
Alex Cejka (2018),59.35
Phil Mickelson (2018),58.6
Ben Martin (2018),57.69
D.A. Points (2018),57.66
Jonathan Byrd (2018),57.65
Bill Haas (2018),57.26
Aaron Baddeley (2018),57.04
Rafa Cabrera Bello (2018),56.9
Peter Malnati (2018),56.69
Patrick Reed (2018),56.68
Brandt Snedeker (2018),56.67
Cameron Smith (2018),56.52
Charles Howell III (2018),55.76
Scott Stallings (2018),55.63
Danny Lee (2018),55.62
Nick Taylor (2018),55.56
Henrik Stenson (2018),55.56
Emiliano Grillo (2018),54.84
Cameron Percy (2018),54.79
Tyrrell Hatton (2018),54.65
J.B. Holmes (2018),54.55
Paul Casey (2018),54.46
Bud Cauley (2018),54.37
Justin Thomas (2018),54.29
Peter Uihlein (2018),54.24
Beau Hossler (2018),54.19
Abraham Ancer (2018),54.12
Jonathan Randolph (2018),54.03
Chris Kirk (2018),54.01
Patrick Cantlay (2018),53.91
Brooks Koepka (2018),53.76
Austin Cook (2018),53.45
Brandon Harkins (2018),53.42
Chris Stroud (2018),53.42
Jamie Lovemark (2018),53.33
Jimmy Walker (2018),53.33
William McGirt (2018),53.28
Brian Gay (2018),53.1
Zach Johnson (2018),52.98
Cameron Tringale (2018),52.81
Johnson Wagner (2018),52.75
Blayne Barber (2018),52.73
Ryan Armour (2018),52.54
Daniel Summerhays (2018),52.44
Rory McIlroy (2018),52.43
Luke List (2018),52.22
Russell Knox (2018),52.21
Dustin Johnson (2018),52.17
Jonas Blixt (2018),52.13
Hideki Matsuyama (2018),52.04
Harold Varner III (2018),51.95
Joel Dahmen (2018),51.85
Alex Noren (2018),51.85
Sam Saunders (2018),51.75
Patrick Rodgers (2018),51.72
Billy Horschel (2018),51.72
Si Woo Kim (2018),51.67
Tommy Fleetwood (2018),51.67
Ricky Barnes (2018),51.65
Lucas Glover (2018),51.61
Talor Gooch (2018),51.52
Hudson Swafford (2018),51.52
Ollie Schniederjans (2018),51.48
Anirban Lahiri (2018),51.46
Matt Jones (2018),51.38
Jordan Spieth (2018),51.33
Kyle Thompson (2018),51.28
"Ted Potter, Jr. (2018)",51.27
Sean O'Hair (2018),51.09
Jason Dufner (2018),50.94
Shane Lowry (2018),50.54
Martin Laird (2018),50.48
Greg Chalmers (2018),50.44
Lanto Griffin (2018),50.43
Ian Poulter (2018),50.42
Adam Scott (2018),50.38
Sung Kang (2018),50.34
J.T. Poston (2018),50
Roberto Díaz (2018),50
Chad Campbell (2018),50
Tom Lovelady (2018),49.65
Wesley Bryan (2018),49.58
Kevin Tway (2018),49.44
Tom Hoge (2018),49.36
Stewart Cink (2018),49.29
Charl Schwartzel (2018),49.26
Xinjun Zhang (2018),49.23
Tyrone Van Aswegen (2018),49.01
Billy Hurley III (2018),48.96
Byeong Hun An (2018),48.85
Michael Kim (2018),48.84
Matt Every (2018),48.84
Marc Leishman (2018),48.81
Andrew Putnam (2018),48.8
Cody Gribble (2018),48.72
Bryson DeChambeau (2018),48.67
Keith Mitchell (2018),48.61
Michael Thompson (2018),48.61
Nate Lashley (2018),48.57
Jon Rahm (2018),48.54
James Hahn (2018),48.48
Troy Merritt (2018),48.47
David Lingmerth (2018),48.41
Xander Schauffele (2018),48.4
Brett Stegmaier (2018),48.28
Conrad Shindler (2018),48.15
Tiger Woods (2018),48.15
Brian Stuard (2018),48.03
Brendan Steele (2018),48
Trey Mullinax (2018),47.97
Aaron Wise (2018),47.92
Francesco Molinari (2018),47.9
Steve Wheatcroft (2018),47.73
Vaughn Taylor (2018),47.65
Martin Piller (2018),47.62
David Hearn (2018),47.62
Shawn Stefani (2018),47.5
Branden Grace (2018),47.46
Graeme McDowell (2018),47.37
Adam Hadwin (2018),47.34
Daniel Berger (2018),47.33
Kevin Streelman (2018),47.24
Brian Harman (2018),47.22
Pat Perez (2018),47.2
Ryan Moore (2018),47.14
John Huh (2018),47.06
Stephan Jaeger (2018),46.97
Kiradech Aphibarnrat (2018),46.88
Patton Kizzire (2018),46.83
Zecheng Dou (2018),46.51
Jim Furyk (2018),46.25
Kyle Stanley (2018),46.2
Denny McCarthy (2018),46.15
Ryan Palmer (2018),46.15
Chesson Hadley (2018),46.1
Bronson Burgoon (2018),45.95
Matt Atkins (2018),45.65
Keegan Bradley (2018),45.2
Charley Hoffman (2018),45.14
Robert Streb (2018),45
Scott Piercy (2018),44.96
Kelly Kraft (2018),44.94
Dominic Bozzelli (2018),44.8
Ben Silverman (2018),44.67
Harris English (2018),44.67
Tony Finau (2018),44.38
Corey Conners (2018),44.27
Bubba Watson (2018),44.2
Kevin Chappell (2018),44.07
Kevin Kisner (2018),44
Nicholas Lindheim (2018),43.96
Grayson Murray (2018),43.93
J.J. Spaun (2018),43.9
Nick Watney (2018),43.79
Derek Fathauer (2018),43.62
Sam Ryder (2018),43.48
Richy Werenski (2018),43.33
Fabián Gómez (2018),43.2
Robert Garrigus (2018),43.2
Rod Pampling (2018),43.2
Chez Reavie (2018),43.06
Scott Brown (2018),42.86
Andrew Landry (2018),42.64
Russell Henley (2018),42.54
Adam Schenk (2018),42.36
J.J. Henry (2018),42.22
C.T. Pan (2018),42.07
Retief Goosen (2018),41.89
Mackenzie Hughes (2018),41.74
Ryan Blaum (2018),41.54
Gary Woodland (2018),41.49
Brice Garnett (2018),41.43
Hunter Mahan (2018),40.95
Jason Kokrak (2018),40.88
Martin Flores (2018),40.65
Jhonattan Vegas (2018),39.64
Satoshi Kodaira (2018),39.53
Ethan Tracy (2018),34.86
Andrew Yun (2018),34.33
Tyler Duncan (2018),32.43
