Player,StrokeAverage
Jordan Spieth (2015),68.938
Jason Day (2015),69.161
Bubba Watson (2015),69.296
Henrik Stenson (2015),69.354
Dustin Johnson (2015),69.585
Justin Rose (2015),69.744
Zach Johnson (2015),69.753
Will Wilcox (2015),69.804
Paul Casey (2015),69.806
Jim Furyk (2015),69.845
Brooks Koepka (2015),69.861
Hideki Matsuyama (2015),69.94
Sergio Garcia (2015),69.958
Matt Kuchar (2015),70.04
Ryan Palmer (2015),70.102
Justin Thomas (2015),70.105
Kevin Na (2015),70.121
Robert Streb (2015),70.13
Brandt Snedeker (2015),70.158
Louis Oosthuizen (2015),70.16
Rickie Fowler (2015),70.23
Jason Bohn (2015),70.235
Harris English (2015),70.235
Jimmy Walker (2015),70.268
Tony Finau (2015),70.281
Patrick Reed (2015),70.292
Webb Simpson (2015),70.31
Kevin Kisner (2015),70.344
Jerry Kelly (2015),70.383
Daniel Summerhays (2015),70.397
Danny Lee (2015),70.398
Brendan Steele (2015),70.413
Russell Knox (2015),70.421
Ian Poulter (2015),70.421
Shawn Stefani (2015),70.421
Rory Sabbatini (2015),70.435
Keegan Bradley (2015),70.45
Adam Scott (2015),70.456
Francesco Molinari (2015),70.458
George McNeill (2015),70.478
Lee Westwood (2015),70.484
Brendon Todd (2015),70.533
Luke Donald (2015),70.555
Marc Leishman (2015),70.569
J.B. Holmes (2015),70.581
Russell Henley (2015),70.581
Daniel Berger (2015),70.581
Phil Mickelson (2015),70.585
Chad Campbell (2015),70.604
Charley Hoffman (2015),70.613
Patrick Rodgers (2015),70.619
Jason Dufner (2015),70.633
Brendon de Jonge (2015),70.642
Brian Harman (2015),70.647
William McGirt (2015),70.647
Jason Kokrak (2015),70.654
Pat Perez (2015),70.666
Bill Haas (2015),70.672
Kevin Chappell (2015),70.672
Nick Watney (2015),70.68
Chad Collins (2015),70.681
Scott Piercy (2015),70.688
Colt Knost (2015),70.698
Zac Blair (2015),70.714
Jim Herman (2015),70.719
Graham DeLaet (2015),70.72
Hudson Swafford (2015),70.732
John Peterson (2015),70.735
Vijay Singh (2015),70.761
Martin Laird (2015),70.772
Stewart Cink (2015),70.774
Boo Weekley (2015),70.775
Bryce Molder (2015),70.779
Scott Brown (2015),70.797
David Lingmerth (2015),70.8
Johnson Wagner (2015),70.807
Matt Jones (2015),70.812
Tom Hoge (2015),70.812
Ryan Moore (2015),70.829
Jonathan Byrd (2015),70.83
Steven Bowditch (2015),70.835
Jeff Overton (2015),70.836
Spencer Levin (2015),70.837
David Hearn (2015),70.843
Jon Curran (2015),70.849
Kyle Reifers (2015),70.854
Carl Pettersson (2015),70.866
Charles Howell III (2015),70.872
James Hahn (2015),70.896
Martin Flores (2015),70.919
Cameron Tringale (2015),70.92
Ben Martin (2015),70.95
Chris Kirk (2015),70.959
Gary Woodland (2015),70.982
Morgan Hoffmann (2015),70.988
Mark Wilson (2015),70.991
Adam Hadwin (2015),71.021
Sean O'Hair (2015),71.03
Scott Langley (2015),71.032
Sangmoon Bae (2015),71.036
John Huh (2015),71.037
Cameron Percy (2015),71.039
Billy Hurley III (2015),71.043
Billy Horschel (2015),71.05
Camilo Villegas (2015),71.067
Steve Wheatcroft (2015),71.072
Alex Prugh (2015),71.089
John Senden (2015),71.09
David Toms (2015),71.092
Charl Schwartzel (2015),71.093
Steven Alker (2015),71.094
Whee Kim (2015),71.097
Carlos Ortiz (2015),71.098
Jamie Donaldson (2015),71.102
Scott Pinckney (2015),71.103
Alex Cejka (2015),71.117
Hunter Mahan (2015),71.124
Blayne Barber (2015),71.127
Chez Reavie (2015),71.146
Michael Putnam (2015),71.156
Chris Stroud (2015),71.194
Fabián Gómez (2015),71.207
Luke Guthrie (2015),71.211
Aaron Baddeley (2015),71.218
Mark Hubbard (2015),71.227
Erik Compton (2015),71.228
Michael Thompson (2015),71.23
Jonas Blixt (2015),71.238
Ryo Ishikawa (2015),71.246
Jason Gore (2015),71.273
Kevin Streelman (2015),71.282
Davis Love III (2015),71.289
Lucas Glover (2015),71.291
Ken Duke (2015),71.306
Jhonattan Vegas (2015),71.326
John Merrick (2015),71.334
Roberto Castro (2015),71.334
J.J. Henry (2015),71.334
Brian Stuard (2015),71.341
Greg Chalmers (2015),71.363
K.J. Choi (2015),71.372
Nicholas Thompson (2015),71.396
Andres Gonzales (2015),71.427
Andres Romero (2015),71.427
Derek Fathauer (2015),71.431
Brice Garnett (2015),71.453
Derek Ernst (2015),71.453
Troy Merritt (2015),71.458
Seung-Yul Noh (2015),71.465
Sung Joon Park (2015),71.469
Bo Van Pelt (2015),71.497
Gonzalo Fernandez-Castaño (2015),71.5
Greg Owen (2015),71.512
Justin Leonard (2015),71.517
Geoff Ogilvy (2015),71.559
Jonathan Randolph (2015),71.606
Ricky Barnes (2015),71.647
Brian Davis (2015),71.656
Retief Goosen (2015),71.667
Sam Saunders (2015),71.668
Tyrone Van Aswegen (2015),71.684
D.A. Points (2015),71.701
Nick Taylor (2015),71.716
Ángel Cabrera (2015),71.734
Max Homa (2015),71.763
Robert Garrigus (2015),71.774
Bill Lunde (2015),71.796
Chesson Hadley (2015),71.798
Byron Smith (2015),71.801
Ernie Els (2015),71.83
Tim Wilkinson (2015),71.944
Padraig Harrington (2015),71.95
Scott Stallings (2015),71.961
Ben Crane (2015),71.975
Eric Axley (2015),71.977
Charlie Beljan (2015),72.01
Oscar Fraustro (2015),72.08
Robert Allenby (2015),72.102
Andrew Svoboda (2015),72.119
Andrew Putnam (2015),72.278
Heath Slocum (2015),72.362
Matt Every (2015),72.419
Jim Renner (2015),72.431
Roger Sloan (2015),72.533
Dustin Johnson (2016),69.172
Jason Day (2016),69.313
Adam Scott (2016),69.47
Jordan Spieth (2016),69.52
Phil Mickelson (2016),69.582
Rory McIlroy (2016),69.646
Matt Kuchar (2016),69.844
Paul Casey (2016),69.95
Brooks Koepka (2016),69.956
Steve Stricker (2016),69.996
Sergio Garcia (2016),69.999
Charl Schwartzel (2016),70.004
Hideki Matsuyama (2016),70.034
Rickie Fowler (2016),70.118
Jim Furyk (2016),70.13
Justin Rose (2016),70.148
Patrick Reed (2016),70.17
Brandt Snedeker (2016),70.203
Branden Grace (2016),70.204
Jason Dufner (2016),70.212
Ryan Palmer (2016),70.229
Gary Woodland (2016),70.234
Kevin Na (2016),70.298
Ryan Moore (2016),70.317
Russell Knox (2016),70.319
Louis Oosthuizen (2016),70.327
Bubba Watson (2016),70.333
Daniel Berger (2016),70.339
Webb Simpson (2016),70.359
Zach Johnson (2016),70.364
Jimmy Walker (2016),70.393
William McGirt (2016),70.393
Charles Howell III (2016),70.418
Francesco Molinari (2016),70.436
Bill Haas (2016),70.444
Harris English (2016),70.463
Kevin Kisner (2016),70.489
Kevin Chappell (2016),70.501
J.B. Holmes (2016),70.523
Lucas Glover (2016),70.534
Billy Horschel (2016),70.548
Marc Leishman (2016),70.554
Russell Henley (2016),70.558
Si Woo Kim (2016),70.56
Chad Campbell (2016),70.566
Jason Kokrak (2016),70.57
Justin Thomas (2016),70.571
Retief Goosen (2016),70.581
Roberto Castro (2016),70.588
Emiliano Grillo (2016),70.637
Shane Lowry (2016),70.64
Charley Hoffman (2016),70.658
Chez Reavie (2016),70.661
Alex Cejka (2016),70.675
Sean O'Hair (2016),70.677
Tim Wilkinson (2016),70.704
John Senden (2016),70.717
Adam Hadwin (2016),70.719
Keegan Bradley (2016),70.741
Luke List (2016),70.754
Daniel Summerhays (2016),70.771
Johnson Wagner (2016),70.781
Ricky Barnes (2016),70.784
Colt Knost (2016),70.785
Tony Finau (2016),70.797
Freddie Jacobson (2016),70.809
Patrick Rodgers (2016),70.833
Stewart Cink (2016),70.846
Billy Hurley III (2016),70.846
Robert Garrigus (2016),70.848
Scott Piercy (2016),70.855
Brendan Steele (2016),70.855
Sung Kang (2016),70.856
Martin Laird (2016),70.867
David Hearn (2016),70.87
David Toms (2016),70.872
Hudson Swafford (2016),70.875
Aaron Baddeley (2016),70.888
Jamie Lovemark (2016),70.896
Graeme McDowell (2016),70.899
Bryce Molder (2016),70.901
Jhonattan Vegas (2016),70.903
Ben Crane (2016),70.908
Luke Donald (2016),70.918
Chris Kirk (2016),70.92
Patton Kizzire (2016),70.921
Spencer Levin (2016),70.927
Jerry Kelly (2016),70.937
Stuart Appleby (2016),70.95
Kyle Reifers (2016),70.965
Scott Stallings (2016),70.966
Kyle Stanley (2016),70.986
Brett Stegmaier (2016),70.995
Brian Harman (2016),70.996
Boo Weekley (2016),71
Smylie Kaufman (2016),71.015
Vaughn Taylor (2016),71.028
Padraig Harrington (2016),71.032
Blayne Barber (2016),71.032
Harold Varner III (2016),71.045
David Lingmerth (2016),71.05
Kevin Streelman (2016),71.054
Will Wilcox (2016),71.055
Vijay Singh (2016),71.057
Seung-Yul Noh (2016),71.061
Derek Fathauer (2016),71.073
Graham DeLaet (2016),71.074
K.J. Choi (2016),71.093
Scott Brown (2016),71.098
Chris Stroud (2016),71.101
John Huh (2016),71.104
Danny Lee (2016),71.118
Jason Bohn (2016),71.126
Bronson Burgoon (2016),71.132
Anirban Lahiri (2016),71.139
Andrew Landry (2016),71.143
Jon Curran (2016),71.145
Henrik Norlander (2016),71.157
Tyrone Van Aswegen (2016),71.189
Jonas Blixt (2016),71.19
Michael Kim (2016),71.203
Michael Thompson (2016),71.204
Jim Herman (2016),71.206
Matt Jones (2016),71.223
Robert Streb (2016),71.223
Brian Stuard (2016),71.242
James Hahn (2016),71.245
Cameron Tringale (2016),71.256
Nick Taylor (2016),71.281
Ben Martin (2016),71.282
Shawn Stefani (2016),71.287
Thomas Aiken (2016),71.326
Kelly Kraft (2016),71.333
Fabián Gómez (2016),71.346
Mark Hubbard (2016),71.362
Ernie Els (2016),71.371
Morgan Hoffmann (2016),71.372
Dawie van der Walt (2016),71.376
Will MacKenzie (2016),71.402
Tyler Aldridge (2016),71.412
Luke Guthrie (2016),71.416
Andrew Loupe (2016),71.423
Sam Saunders (2016),71.427
Steve Wheatcroft (2016),71.429
Rob Oppenheim (2016),71.435
Mark Wilson (2016),71.436
Camilo Villegas (2016),71.44
Tom Hoge (2016),71.444
Geoff Ogilvy (2016),71.464
Jeff Overton (2016),71.466
Steve Marino (2016),71.467
Whee Kim (2016),71.472
Zac Blair (2016),71.49
Scott Pinckney (2016),71.524
Chad Collins (2016),71.532
Chesson Hadley (2016),71.541
Brendon de Jonge (2016),71.603
Rod Pampling (2016),71.607
Jason Gore (2016),71.627
D.A. Points (2016),71.655
Troy Merritt (2016),71.674
Greg Owen (2016),71.677
Andres Gonzales (2016),71.681
Peter Malnati (2016),71.686
Hiroshi Iwata (2016),71.693
Wes Roach (2016),71.7
Cameron Smith (2016),71.759
Scott Langley (2016),71.796
Martin Piller (2016),71.813
George McNeill (2016),71.848
Ken Duke (2016),71.88
Erik Compton (2016),71.884
Carlos Ortiz (2016),71.906
J.J. Henry (2016),72.019
Derek Ernst (2016),72.075
Rhein Gibson (2016),72.086
Dicky Pride (2016),72.102
Hunter Mahan (2016),72.105
Abraham Ancer (2016),72.137
Ángel Cabrera (2016),72.175
Rory Sabbatini (2016),72.451
Brendon Todd (2016),72.728
Robert Allenby (2016),73.117
D.H. Lee (2016),73.415
Steven Bowditch (2016),74.262
Jordan Spieth (2017),68.846
Rickie Fowler (2017),69.083
Justin Thomas (2017),69.359
Marc Leishman (2017),69.468
Paul Casey (2017),69.469
Rory McIlroy (2017),69.529
Dustin Johnson (2017),69.549
Jon Rahm (2017),69.561
Sergio Garcia (2017),69.596
Hideki Matsuyama (2017),69.624
Justin Rose (2017),69.699
Francesco Molinari (2017),69.802
Matt Kuchar (2017),69.806
Brooks Koepka (2017),69.847
Patrick Cantlay (2017),69.971
Tony Finau (2017),69.987
Kyle Stanley (2017),69.989
Adam Scott (2017),69.996
Bill Haas (2017),70.011
Webb Simpson (2017),70.018
Russell Henley (2017),70.027
Ian Poulter (2017),70.045
Brandt Snedeker (2017),70.055
Jason Day (2017),70.115
Daniel Berger (2017),70.121
Lucas Glover (2017),70.139
Xander Schauffele (2017),70.163
Phil Mickelson (2017),70.168
Charl Schwartzel (2017),70.211
Stewart Cink (2017),70.213
Louis Oosthuizen (2017),70.22
Chez Reavie (2017),70.244
Pat Perez (2017),70.25
Jason Dufner (2017),70.259
Kevin Kisner (2017),70.294
Charley Hoffman (2017),70.351
Charles Howell III (2017),70.371
Graham DeLaet (2017),70.376
Jamie Lovemark (2017),70.391
Zach Johnson (2017),70.393
Kevin Na (2017),70.399
Brian Harman (2017),70.402
Luke List (2017),70.428
Bud Cauley (2017),70.432
Keegan Bradley (2017),70.437
Martin Laird (2017),70.45
Patrick Reed (2017),70.453
Gary Woodland (2017),70.482
Sung Kang (2017),70.496
Brendan Steele (2017),70.503
Chad Campbell (2017),70.509
Seamus Power (2017),70.543
Adam Hadwin (2017),70.583
Brian Gay (2017),70.585
Hudson Swafford (2017),70.618
Graeme McDowell (2017),70.629
J.B. Holmes (2017),70.66
Shane Lowry (2017),70.667
Nick Watney (2017),70.685
Rafa Cabrera Bello (2017),70.693
Robert Streb (2017),70.7
Ollie Schniederjans (2017),70.704
Michael Kim (2017),70.707
Robert Garrigus (2017),70.712
Matt Jones (2017),70.719
Ryan Moore (2017),70.741
David Lingmerth (2017),70.755
Russell Knox (2017),70.765
Kevin Chappell (2017),70.779
Emiliano Grillo (2017),70.798
Anirban Lahiri (2017),70.799
Sean O'Hair (2017),70.801
Scott Stallings (2017),70.811
Chris Stroud (2017),70.815
Nick Taylor (2017),70.817
Luke Donald (2017),70.831
Billy Horschel (2017),70.832
Harris English (2017),70.848
John Huh (2017),70.851
Danny Lee (2017),70.86
Branden Grace (2017),70.862
Ryan Blaum (2017),70.866
Bryson DeChambeau (2017),70.866
Kevin Tway (2017),70.868
Kevin Streelman (2017),70.873
Brandon Hagy (2017),70.875
Camilo Villegas (2017),70.881
Rory Sabbatini (2017),70.883
Martin Flores (2017),70.885
Byeong Hun An (2017),70.887
Cameron Smith (2017),70.909
Sam Saunders (2017),70.921
James Hahn (2017),70.925
Jim Herman (2017),70.931
Scott Brown (2017),70.932
Tim Wilkinson (2017),70.95
Ben Martin (2017),70.954
Seung-Yul Noh (2017),70.955
Jason Kokrak (2017),70.961
Whee Kim (2017),70.964
Ryan Armour (2017),70.965
